Pond,Pot,Plant,Species,Competitor,PlantID,Shade ,Leachate,Above,Rhizome,Below ,Leaves.FA,Leaves.FD,Height.F,Ramets.F
SL.Pond5,4,R1,L,G,M-L-5,YS,YL,2.58,5.294,7.456,13,2,64.8,2
SL.Pond5,4,R2,G,L,D-A-19,YS,YL,2.214,3.865,5.097,12,1,62.2,3
SL.Pond5,5,R1,G,G,M-A-12,YS,YL,3.417,4.032,8.269,11,2,75.4,2
SL.Pond5,5,R2,G,G,D-A-11,YS,YL,1.268,1.108,2.276,9,0,48.2,2
SL.Pond5,6,R1,G,G,M-A-10,YS,YL,3.124,5.613,7.714,10,2,76.2,3
SL.Pond5,6,R2,G,G,C-A-21,YS,YL,2.179,5.293,6.865,6,2,64.2,2
C.Pond6,1,R1,L,G,M-H-12,NS,NL,3.68,5.559,10.63,14,1,63.8,2
C.Pond6,1,R2,G,L,M-A-12,NS,NL,3.603,8.255,11.872,14,3,80.6,2
C.Pond6,2,R1,L,G,D-L-4,NS,NL,2.793,5.127,7.358,15,2,66.2,3
C.Pond6,2,R2,G,L,D-A-19,NS,NL,3.665,8.424,10.534,18,3,71.5,4
C.Pond6,3,R1,L,L,S-L-1,NS,NL,2.355,5.065,8.92,14,2,53.2,2
C.Pond6,3,R2,L,L,M-L-5,NS,NL,2.55,6.002,13.367,18,2,57.7,3
C.Pond6,4,R1,G,G,D-A-11,NS,NL,1.048,1.173,3.003,11,2,47.1,3
C.Pond6,4,R2,G,G,M-A-7,NS,NL,2.183,2.811,5.354,12,2,59.5,2
C.Pond6,5,R1,L,L,M-L-15,NS,NL,0.631,0.489,2.477,13,1,26.2,2
C.Pond6,5,R2,L,L,D-L-11,NS,NL,3.033,6.048,10.586,10,2,61,1
C.Pond6,6,R1,G,G,C-A-21,NS,NL,2.474,3.923,7.438,11,3,66.1,2
C.Pond6,6,R2,G,G,M-A-7,NS,NL,1.954,4.185,8.09,12,2,57,2
S.Pond7,1,R1,L,L,D-L-11,YS,NL,1.712,3.918,7.047,13,2,58.3,3
S.Pond7,1,R2,L,L,S-L-1,YS,NL,2.265,2.63,5.56,12,4,58.7,2
S.Pond7,2,R1,G,G,M-A-10,YS,NL,2.439,5.521,8.666,11,2,76.9,2
S.Pond7,2,R2,G,G,C-A-21,YS,NL,1.854,2.318,4.003,13,1,64.6,2
S.Pond7,3,R1,L,G,M-H-12,YS,NL,1.681,3.597,5.151,9,2,56.2,1
S.Pond7,3,R2,G,L,M-A-12,YS,NL,1.813,3.363,5.384,15,1,68.4,3
S.Pond7,4,R1,L,L,D-L-4,YS,NL,0.878,1.725,3.157,8,2,46.2,1
S.Pond7,4,R2,L,L,M-L-15,YS,NL,2.961,5.043,8.491,8,2,57.5,1
S.Pond7,5,R1,G,L,D-A-19,YS,NL,3.051,4.134,5.961,12,2,77.8,2
S.Pond7,5,R2,L,G,S-L-1,YS,NL,1.268,2.028,4.012,7,2,52.3,2
S.Pond7,6,R1,L,G,M-L-5,YS,NL,4.354,5.639,8.008,20,3,71.3,3
S.Pond7,6,R2,G,L,M-A-7,YS,NL,2.461,6.56,9.097,9,3,78.9,2
L.Pond8,1,R1,G,G,D-A-11,NS,YL,1.116,3.221,7.045,8,1,52.5,2
L.Pond8,1,R2,G,G,M-A-10,NS,YL,2.668,6.137,8.942,16,2,64.2,3
L.Pond8,2,R1,L,L,M-H-12,NS,YL,2.702,4.37,7.852,17,2,58.3,3
